Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,,,,,,,146434198.4,146982171.5,96400058.6,108774066.3,76001339.8,62241085.3,52077909.0,36630750.0,31740710.4,26037493.8,11669646.0,3241563.2,16323196.4,28590201.1,440209.2,0.0,0.0,0.0,0.0,80837488.7,98371283.1,68738653.9,45062754.7,26603864.6,14005762.6,8308843.6,3346764.6
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, long-term + IMF (DIS, current US$)",DT.DIS.DLTF.CD,,,,,,,146434198.4,201788133.3,132125133.6,126204118.4,84622858.6,81162309.1,70458447.7,36630750.0,31740710.4,26037493.8,17924909.4,15722209.3,29067467.4,42241232.0,338746568.5,147607806.2,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, other public sector (PPG) (DIS, current US$)",DT.DIS.DOPS.CD,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)",DT.DIS.PRPG.CD,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",DT.DIS.DPNG.CD,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",DT.DIS.DPPG.CD,,,,,,,146434198.4,146982171.5,96400058.6,108774066.3,76001339.8,62241085.3,52077909.0,36630750.0,31740710.4,26037493.8,11669646.0,3241563.2,16323196.4,28590201.1,440209.2,0.0,0.0,0.0,0.0,80837488.7,98371283.1,68738653.9,45062754.7,26603864.6,14005762.6,8308843.6,3346764.6
Afghanistan,AFG       ,World,WLD,"Disbursements on external debt, public sector (PPG) (DIS, current US$)",DT.DIS.DEPS.CD,,,,,,,146434198.4,146982171.5,96400058.6,108774066.3,76001339.8,62241085.3,52077909.0,36630750.0,31740710.4,26037493.8,11669646.0,3241563.2,16323196.4,28590201.1,440209.2,0.0,0.0,0.0,0.0,,,,,,,,
Afghanistan,AFG       ,World,WLD,"Exports of goods, services and primary income (current US$)",BX.GSR.TOTL.CD,,,,,,,,,1993642470.0,2202037380.0,2746604195.0,3191479094.0,2480275797.0,1584641701.0,2177473479.0,1704288649.0,1375850798.0,1452434678.0,1898906245.0,1868568056.0,1716706831.0,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,"External debt stocks (% of exports of goods, services and primary income)",DT.DOD.DECT.EX.ZS,,,,,,,,,107.5394322,112.6326981,88.68569086,77.87395666,104.0458455,163.3034563,116.1835169,152.3754364,188.6868904,189.4740383,141.0685984,142.4452242,177.0874478,,,,,,,,,,,,
Afghanistan,AFG       ,World,WLD,External debt stocks (% of GNI),DT.DOD.DECT.GN.ZS,,,,,,,13.79285837,20.48067585,21.21213235,20.03672485,15.3334974,13.9770517,12.92816044,12.80483637,12.30498827,13.49083011,14.14704504,14.51334274,14.64242467,13.94965204,15.12085853,24.78573995,23.33684898,19.89093682,,,,,,,,,
